,orderID,anon_customer,order_date,start_ship_date,anon_rep,anon_product_line,anon_product,Qty (Units),line_item_total,anon_category
20,432ec50b,Customer_6,2021-05-26 11:09 AM,2021-06-02,Sales Rep_1,Product_Line_2,Product_14,500.0,"$2,500.00",Category_2
21,432ec50b,Customer_6,2021-05-26 11:09 AM,2021-06-02,Sales Rep_1,Product_Line_3,Product_15,312.0,"$4,680.00",Category_1
22,d7396600,Customer_1,2021-06-07 12:06 PM,2021-06-08,Sales Rep_3,Product_Line_1,Product_16,1.0,"$1,400.00",Category_1
23,5be5cc9c,Customer_7,2021-06-10 02:25 PM,2021-06-22,Sales Rep_3,Product_Line_1,Product_7,2.0,"$3,000.00",Category_1
24,40808034,Customer_8,2021-06-14 01:41 PM,2021-06-16,Sales Rep_3,Product_Line_4,Product_17,14.0,$280.00,Category_3
25,40808034,Customer_8,2021-06-14 01:41 PM,2021-06-16,Sales Rep_3,Product_Line_4,Product_18,14.0,$280.00,Category_3
26,455dcca9,Customer_8,2021-06-14 01:42 PM,2021-06-16,Sales Rep_3,Product_Line_1,Product_9,1.0,"$1,500.00",Category_1
27,5be5cc9c,Customer_7,2021-06-10 02:25 PM,2021-06-22,Sales Rep_3,Product_Line_1,Product_19,2.0,"$3,800.00",Category_1
28,b4ea6634,Customer_9,2021-06-16 10:23 AM,2021-06-30,Sales Rep_3,Product_Line_1,Product_19,1.0,"$1,900.00",Category_1
29,7cfad465,Customer_10,2021-06-16 10:26 AM,2021-06-17,Sales Rep_3,Product_Line_1,Product_19,1.0,"$1,900.00",Category_1
30,b4ff514d,Customer_11,2021-06-22 01:02 PM,2021-06-23,Sales Rep_1,Product_Line_5,Product_20,77.0,"$28,875.00",Category_1
31,6562a92f,Customer_6,2021-06-23 10:11 AM,2021-06-24,Sales Rep_1,Product_Line_1,Product_21,3.0,"$5,700.00",Category_1
32,6562a92f,Customer_6,2021-06-23 10:11 AM,2021-06-24,Sales Rep_1,Product_Line_3,Product_22,364.0,"$6,552.00",Category_1
33,6562a92f,Customer_6,2021-06-23 10:11 AM,2021-06-24,Sales Rep_1,Product_Line_2,Product_23,160.0,$960.00,Category_2
34,6562a92f,Customer_6,2021-06-23 10:11 AM,2021-06-24,Sales Rep_1,Product_Line_3,Product_24,544.0,"$3,808.00",Category_1
35,6562a92f,Customer_6,2021-06-23 10:11 AM,2021-06-24,Sales Rep_1,Product_Line_3,Product_25,364.0,"$6,552.00",Category_1
36,6562a92f,Customer_6,2021-06-23 10:11 AM,2021-06-24,Sales Rep_1,Product_Line_3,Product_26,544.0,"$3,808.00",Category_1
37,6562a92f,Customer_6,2021-06-23 10:11 AM,2021-06-24,Sales Rep_1,Product_Line_2,Product_27,200.0,"$1,200.00",Category_2
38,6562a92f,Customer_6,2021-06-23 10:11 AM,2021-06-24,Sales Rep_1,Product_Line_1,Product_19,8.0,"$15,200.00",Category_1
39,6562a92f,Customer_6,2021-06-23 10:11 AM,2021-06-24,Sales Rep_1,Product_Line_3,Product_28,182.0,"$2,730.00",Category_1
40,6562a92f,Customer_6,2021-06-23 10:11 AM,2021-06-24,Sales Rep_1,Product_Line_3,Product_29,272.0,"$1,632.00",Category_1
41,6562a92f,Customer_6,2021-06-23 10:11 AM,2021-06-24,Sales Rep_1,Product_Line_2,Product_30,360.0,"$1,800.00",Category_2
42,6562a92f,Customer_6,2021-06-23 10:11 AM,2021-06-24,Sales Rep_1,Product_Line_3,Product_31,182.0,"$2,730.00",Category_1
43,6562a92f,Customer_6,2021-06-23 10:11 AM,2021-06-24,Sales Rep_1,Product_Line_3,Product_32,249.0,"$1,494.00",Category_1
44,6562a92f,Customer_6,2021-06-23 10:11 AM,2021-06-24,Sales Rep_1,Product_Line_2,Product_33,15.0,$75.00,Category_2
45,7cfad465,Customer_10,2021-06-16 10:26 AM,2021-06-17,Sales Rep_3,Product_Line_1,Product_5,3.0,"$4,500.00",Category_1
46,ee5e176e,Customer_7,2021-06-29 10:57 PM,2021-06-30,Sales Rep_3,Product_Line_1,Product_5,6.0,"$9,000.00",Category_1
47,77671c03,Customer_12,2021-06-29 10:59 PM,2021-06-30,Sales Rep_3,Product_Line_1,Product_5,2.0,"$3,000.00",Category_1
48,84ab9f48,Customer_8,2021-06-30 01:01 PM,2021-07-01,Sales Rep_3,Product_Line_1,Product_21,1.0,"$1,900.00",Category_1
49,b40ca73d,Customer_13,2021-07-01 12:52 PM,2021-07-02,Sales Rep_3,Product_Line_4,Product_17,75.0,"$1,500.00",Category_3
50,b40ca73d,Customer_13,2021-07-01 12:52 PM,2021-07-02,Sales Rep_3,Product_Line_4,Product_18,75.0,"$1,500.00",Category_3
51,b40ca73d,Customer_13,2021-07-01 12:52 PM,2021-07-02,Sales Rep_3,Product_Line_1,Product_5,1.7,"$3,060.00",Category_1
52,188d2775,Customer_14,2021-07-02 01:36 PM,2021-07-06,Sales Rep_3,Product_Line_4,Product_17,75.0,"$1,500.00",Category_3
53,188d2775,Customer_14,2021-07-02 01:36 PM,2021-07-06,Sales Rep_3,Product_Line_4,Product_18,20.0,$400.00,Category_3
54,188d2775,Customer_14,2021-07-02 01:36 PM,2021-07-06,Sales Rep_3,Product_Line_1,Product_1,10.0,"$18,000.00",Category_1
55,c5315a42,Customer_15,2021-07-12 07:50 AM,2021-07-15,Sales Rep_3,Product_Line_1,Product_1,1.0,"$1,600.00",Category_1
56,c5315a42,Customer_15,2021-07-12 07:50 AM,2021-07-15,Sales Rep_3,Product_Line_1,Product_18,3.0,"$4,800.00",Category_1
57,16afa1ec,Customer_16,2021-07-12 07:53 AM,2021-07-15,Sales Rep_3,Product_Line_1,Product_1,1.0,"$1,600.00",Category_1
58,16afa1ec,Customer_16,2021-07-12 07:53 AM,2021-07-15,Sales Rep_3,Product_Line_1,Product_18,3.0,"$4,800.00",Category_1
59,d2959fd1,Customer_17,2021-07-12 07:57 AM,2021-07-15,Sales Rep_3,Product_Line_1,Product_1,1.0,"$1,600.00",Category_1
60,d2959fd1,Customer_17,2021-07-12 07:57 AM,2021-07-15,Sales Rep_3,Product_Line_1,Product_18,3.0,"$4,800.00",Category_1
61,d7b18960,Customer_6,2021-07-12 11:15 AM,2021-07-15,Sales Rep_1,Product_Line_3,Product_15,100.0,"$1,800.00",Category_1
62,d7b18960,Customer_6,2021-07-12 11:15 AM,2021-07-15,Sales Rep_1,Product_Line_2,Product_8,198.0,$990.00,Category_2
63,d7b18960,Customer_6,2021-07-12 11:15 AM,2021-07-15,Sales Rep_1,Product_Line_2,Product_4,95.0,$475.00,Category_2
64,d7b18960,Customer_6,2021-07-12 11:15 AM,2021-07-15,Sales Rep_1,Product_Line_3,Product_11,200.0,"$3,600.00",Category_1
65,d7b18960,Customer_6,2021-07-12 11:15 AM,2021-07-15,Sales Rep_1,Product_Line_2,Product_12,193.0,$965.00,Category_2
66,d7b18960,Customer_6,2021-07-12 11:15 AM,2021-07-15,Sales Rep_1,Product_Line_3,Product_34,99.0,"$1,485.00",Category_1
67,29761e37,Customer_7,2021-07-20 01:25 PM,2021-07-20,Sales Rep_3,Product_Line_4,Product_17,60.0,"$1,200.00",Category_3
68,af984515,Customer_9,2021-07-20 01:25 PM,2021-07-22,Sales Rep_3,Product_Line_4,Product_17,100.0,"$2,000.00",Category_3
69,d7b18960,Customer_6,2021-07-12 11:15 AM,2021-07-15,Sales Rep_1,Product_Line_3,Product_10,248.0,"$1,240.00",Category_1
70,d7b18960,Customer_6,2021-07-12 11:15 AM,2021-07-15,Sales Rep_1,Product_Line_1,Product_13,630.0,"$3,150.00",Category_1
71,d7b18960,Customer_6,2021-07-12 11:15 AM,2021-07-15,Sales Rep_1,Product_Line_2,Product_6,188.0,$940.00,Category_2
72,8044b60c,Customer_18,2021-08-12 09:53 AM,2021-08-16,Sales Rep_3,Product_Line_1,Product_5,2.0,"$3,800.00",Category_1
73,9655f523,Customer_13,2021-08-16 02:46 PM,2021-08-16,Sales Rep_3,Product_Line_4,Product_17,75.0,"$1,500.00",Category_3
74,693308d8,Customer_11,2021-08-17 09:21 AM,2021-08-19,Sales Rep_1,Product_Line_5,Product_20,115.0,"$43,125.00",Category_1
75,5c2f2976,Customer_6,2021-08-17 12:36 PM,2021-09-02,Sales Rep_1,Product_Line_3,Product_22,624.0,"$11,232.00",Category_1
76,5c2f2976,Customer_6,2021-08-17 12:36 PM,2021-09-02,Sales Rep_1,Product_Line_3,Product_24,270.0,"$1,620.00",Category_1
77,5c2f2976,Customer_6,2021-08-17 12:36 PM,2021-09-02,Sales Rep_1,Product_Line_2,Product_23,270.0,"$1,620.00",Category_2
78,5c2f2976,Customer_6,2021-08-17 12:36 PM,2021-09-02,Sales Rep_1,Product_Line_3,Product_25,624.0,"$11,232.00",Category_1
79,5c2f2976,Customer_6,2021-08-17 12:36 PM,2021-09-02,Sales Rep_1,Product_Line_3,Product_26,270.0,"$1,620.00",Category_1
80,5c2f2976,Customer_6,2021-08-17 12:36 PM,2021-09-02,Sales Rep_1,Product_Line_2,Product_27,270.0,"$1,620.00",Category_2
81,5c2f2976,Customer_6,2021-08-17 12:36 PM,2021-09-02,Sales Rep_1,Product_Line_3,Product_11,624.0,"$11,232.00",Category_1
82,5c2f2976,Customer_6,2021-08-17 12:36 PM,2021-09-02,Sales Rep_1,Product_Line_1,Product_13,270.0,"$1,620.00",Category_1
83,5c2f2976,Customer_6,2021-08-17 12:36 PM,2021-09-02,Sales Rep_1,Product_Line_2,Product_12,270.0,"$1,620.00",Category_2
84,5c2f2976,Customer_6,2021-08-17 12:36 PM,2021-09-02,Sales Rep_1,Product_Line_3,Product_35,624.0,"$11,232.00",Category_1
85,5c2f2976,Customer_6,2021-08-17 12:36 PM,2021-09-02,Sales Rep_1,Product_Line_2,Product_6,270.0,"$1,620.00",Category_2
86,5c2f2976,Customer_6,2021-08-17 12:36 PM,2021-09-02,Sales Rep_1,Product_Line_3,Product_36,270.0,"$1,620.00",Category_1
87,eb5a0d47,Customer_6,2021-08-20 03:16 PM,2021-08-24,Sales Rep_1,Product_Line_1,Product_21,10.8,"$16,200.00",Category_1
88,eb5a0d47,Customer_6,2021-08-20 03:16 PM,2021-08-24,Sales Rep_1,Product_Line_1,Product_19,12.7,"$19,050.00",Category_1
89,eb5a0d47,Customer_6,2021-08-20 03:16 PM,2021-08-24,Sales Rep_1,Product_Line_1,Product_5,2.7,"$4,050.00",Category_1
90,eb5a0d47,Customer_6,2021-08-20 03:16 PM,2021-08-24,Sales Rep_1,Product_Line_1,Product_18,7.6,"$11,400.00",Category_1
91,71b4c3c0,Customer_1,2021-08-25 03:57 PM,2021-09-07,Sales Rep_3,Product_Line_1,Product_21,1.0,"$1,900.00",Category_1
92,719c0dbd,Customer_4,2021-08-26 04:21 PM,2021-08-27,Sales Rep_3,Product_Line_1,Product_21,1.0,$0.01,Category_1
93,719c0dbd,Customer_4,2021-08-26 04:21 PM,2021-08-27,Sales Rep_3,Product_Line_1,Product_1,1.0,$0.01,Category_1
94,719c0dbd,Customer_4,2021-08-26 04:21 PM,2021-08-27,Sales Rep_3,Product_Line_1,Product_37,354.0,$0.00,Category_1
95,d6c9d16c,Customer_14,2021-08-30 10:30 AM,2021-08-31,Sales Rep_3,Product_Line_1,Product_21,6.0,"$11,400.00",Category_1
96,d6c9d16c,Customer_14,2021-08-30 10:30 AM,2021-08-31,Sales Rep_3,Product_Line_1,Product_1,10.0,"$19,000.00",Category_1
97,b2b85988,Customer_13,2021-08-30 07:25 PM,2021-08-30,Sales Rep_3,Product_Line_4,Product_17,50.0,"$1,250.00",Category_3
98,71b4c3c0,Customer_1,2021-08-25 03:57 PM,2021-09-07,Sales Rep_3,Product_Line_1,Product_1,1.0,"$2,000.00",Category_1
99,2518be3b,Customer_19,2021-09-07 02:00 PM,2021-09-09,Sales Rep_3,Product_Line_5,Product_20,1.0,$0.01,Category_1
100,641942f6,Customer_4,2021-09-09 11:39 AM,2021-09-10,Sales Rep_3,Product_Line_2,Product_23,76.0,$0.76,Category_2
101,641942f6,Customer_4,2021-09-09 11:39 AM,2021-09-10,Sales Rep_3,Product_Line_2,Product_8,46.0,$0.46,Category_2
102,f3f00de2,Customer_20,2021-10-07 02:54 PM,2021-10-08,Sales Rep_3,Product_Line_1,Product_37,1.0,$0.01,Category_1
103,f3f00de2,Customer_20,2021-10-07 02:54 PM,2021-10-08,Sales Rep_3,Product_Line_6,Product_38,1.0,$0.01,Category_1
104,f3f00de2,Customer_20,2021-10-07 02:54 PM,2021-10-08,Sales Rep_3,Product_Line_1,Product_18,1.0,$0.01,Category_1
105,b3e2c4bf,Customer_4,2021-10-18 02:01 PM,2021-10-18,Sales Rep_3,Product_Line_1,Product_39,0.35,$0.01,Category_1
106,b3e2c4bf,Customer_4,2021-10-18 02:01 PM,2021-10-18,Sales Rep_3,Product_Line_1,Product_21,1.75,$0.02,Category_1
107,e1225099,Customer_21,2021-10-19 02:33 PM,2021-10-21,Sales Rep_3,Product_Line_2,Product_27,51.0,$255.00,Category_2
108,e1225099,Customer_21,2021-10-19 02:33 PM,2021-10-21,Sales Rep_3,Product_Line_2,Product_12,33.0,$165.00,Category_2
109,e1225099,Customer_21,2021-10-19 02:33 PM,2021-10-21,Sales Rep_3,Product_Line_2,Product_6,40.0,$200.00,Category_2
110,470355ed,Customer_22,2021-11-03 04:39 PM,2021-11-05,Sales Rep_3,Product_Line_5,Product_20,19.3,$0.19,Category_1
111,80542175,Customer_23,2021-11-03 04:50 PM,2021-11-05,Sales Rep_3,Product_Line_5,Product_40,74.5,$0.74,Category_1
112,8f364e98,Customer_24,2021-11-05 09:25 AM,2021-11-08,Sales Rep_1,Product_Line_1,Product_21,0.5,$900.00,Category_1
113,8f364e98,Customer_24,2021-11-05 09:25 AM,2021-11-08,Sales Rep_1,Product_Line_1,Product_1,0.5,$900.00,Category_1
114,8f364e98,Customer_24,2021-11-05 09:25 AM,2021-11-08,Sales Rep_1,Product_Line_1,Product_2,0.5,$850.00,Category_1
115,a20b398c,Customer_20,2021-11-08 01:35 PM,2021-11-10,Sales Rep_3,Product_Line_1,Product_21,2.0,"$3,600.00",Category_1
116,a20b398c,Customer_20,2021-11-08 01:35 PM,2021-11-10,Sales Rep_3,Product_Line_1,Product_1,2.0,"$3,600.00",Category_1
117,a20b398c,Customer_20,2021-11-08 01:35 PM,2021-11-10,Sales Rep_3,Product_Line_1,Product_2,2.0,"$3,400.00",Category_1
118,a20b398c,Customer_20,2021-11-08 01:35 PM,2021-11-10,Sales Rep_3,Product_Line_1,Product_19,2.0,"$3,400.00",Category_1
119,42d2af2b,Customer_25,2021-11-09 12:27 PM,2021-11-12,Sales Rep_3,Product_Line_1,Product_21,1.0,"$1,500.00",Category_1
120,42d2af2b,Customer_25,2021-11-09 12:27 PM,2021-11-12,Sales Rep_3,Product_Line_1,Product_2,1.0,"$1,500.00",Category_1
121,42d2af2b,Customer_25,2021-11-09 12:27 PM,2021-11-12,Sales Rep_3,Product_Line_1,Product_19,1.0,"$1,500.00",Category_1
122,0894b9e8,Customer_26,2021-11-09 03:14 PM,2021-11-12,Sales Rep_3,Product_Line_1,Product_21,1.0,"$1,200.00",Category_1
123,0894b9e8,Customer_26,2021-11-09 03:14 PM,2021-11-12,Sales Rep_3,Product_Line_1,Product_1,1.0,"$1,200.00",Category_1
124,0894b9e8,Customer_26,2021-11-09 03:14 PM,2021-11-12,Sales Rep_3,Product_Line_1,Product_2,1.0,"$1,200.00",Category_1
125,0894b9e8,Customer_26,2021-11-09 03:14 PM,2021-11-12,Sales Rep_3,Product_Line_1,Product_19,1.0,"$1,200.00",Category_1
126,845afcb0,Customer_27,2021-11-09 03:47 PM,2021-11-12,Sales Rep_3,Product_Line_1,Product_21,1.0,"$1,200.00",Category_1
127,845afcb0,Customer_27,2021-11-09 03:47 PM,2021-11-12,Sales Rep_3,Product_Line_1,Product_1,1.0,"$1,200.00",Category_1
128,845afcb0,Customer_27,2021-11-09 03:47 PM,2021-11-12,Sales Rep_3,Product_Line_1,Product_2,1.0,"$1,200.00",Category_1
129,845afcb0,Customer_27,2021-11-09 03:47 PM,2021-11-12,Sales Rep_3,Product_Line_1,Product_19,1.0,"$1,200.00",Category_1
130,424f8d47,Customer_28,2021-11-09 03:50 PM,2021-11-12,Sales Rep_3,Product_Line_1,Product_21,1.0,"$1,200.00",Category_1
131,424f8d47,Customer_28,2021-11-09 03:50 PM,2021-11-12,Sales Rep_3,Product_Line_1,Product_1,1.0,"$1,200.00",Category_1
132,424f8d47,Customer_28,2021-11-09 03:50 PM,2021-11-12,Sales Rep_3,Product_Line_1,Product_2,1.0,"$1,200.00",Category_1
133,424f8d47,Customer_28,2021-11-09 03:50 PM,2021-11-12,Sales Rep_3,Product_Line_1,Product_19,1.0,"$1,200.00",Category_1
134,58004d25,Customer_29,2021-11-09 03:55 PM,2021-11-12,Sales Rep_3,Product_Line_1,Product_21,1.0,"$1,200.00",Category_1
135,58004d25,Customer_29,2021-11-09 03:55 PM,2021-11-12,Sales Rep_3,Product_Line_1,Product_1,1.0,"$1,200.00",Category_1
136,58004d25,Customer_29,2021-11-09 03:55 PM,2021-11-12,Sales Rep_3,Product_Line_1,Product_2,1.0,"$1,200.00",Category_1
137,58004d25,Customer_29,2021-11-09 03:55 PM,2021-11-12,Sales Rep_3,Product_Line_1,Product_19,1.0,"$1,200.00",Category_1
138,c4292863,Customer_30,2021-11-09 04:03 PM,2021-11-12,Sales Rep_3,Product_Line_1,Product_21,1.0,"$1,200.00",Category_1
139,c4292863,Customer_30,2021-11-09 04:03 PM,2021-11-12,Sales Rep_3,Product_Line_1,Product_1,1.0,"$1,200.00",Category_1
140,c4292863,Customer_30,2021-11-09 04:03 PM,2021-11-12,Sales Rep_3,Product_Line_1,Product_2,1.0,"$1,200.00",Category_1
141,c4292863,Customer_30,2021-11-09 04:03 PM,2021-11-12,Sales Rep_3,Product_Line_1,Product_19,1.0,"$1,200.00",Category_1
142,70f8bb14,Customer_31,2021-11-15 12:36 PM,2021-11-16,Sales Rep_1,Product_Line_1,Product_21,2.0,"$2,800.00",Category_1
143,70f8bb14,Customer_31,2021-11-15 12:36 PM,2021-11-16,Sales Rep_1,Product_Line_1,Product_1,2.0,"$2,800.00",Category_1
144,70f8bb14,Customer_31,2021-11-15 12:36 PM,2021-11-16,Sales Rep_1,Product_Line_1,Product_2,2.0,"$2,800.00",Category_1
145,70f8bb14,Customer_31,2021-11-15 12:36 PM,2021-11-16,Sales Rep_1,Product_Line_1,Product_19,2.0,"$2,800.00",Category_1
146,71d1f307,Customer_31,2021-11-16 02:35 PM,2021-11-16,Sales Rep_1,Product_Line_3,Product_24,6.0,$30.00,Category_1
147,71d1f307,Customer_31,2021-11-16 02:35 PM,2021-11-16,Sales Rep_1,Product_Line_3,Product_10,6.0,$30.00,Category_1
148,71d1f307,Customer_31,2021-11-16 02:35 PM,2021-11-16,Sales Rep_1,Product_Line_3,Product_41,6.0,$30.00,Category_1
149,71d1f307,Customer_31,2021-11-16 02:35 PM,2021-11-16,Sales Rep_1,Product_Line_3,Product_26,6.0,$30.00,Category_1
150,3ea099bc,Customer_31,2021-11-18 09:40 AM,2021-11-19,Sales Rep_1,Product_Line_2,Product_42,4.0,"$6,000.00",Category_2
151,3ea099bc,Customer_31,2021-11-18 09:40 AM,2021-11-19,Sales Rep_1,Product_Line_1,Product_43,2.16,"$3,240.00",Category_1
152,3ea099bc,Customer_31,2021-11-18 09:40 AM,2021-11-19,Sales Rep_1,Product_Line_1,Product_21,4.0,"$6,000.00",Category_1
153,3ea099bc,Customer_31,2021-11-18 09:40 AM,2021-11-19,Sales Rep_1,Product_Line_1,Product_44,0.9,"$1,350.00",Category_1
154,3ea099bc,Customer_31,2021-11-18 09:40 AM,2021-11-19,Sales Rep_1,Product_Line_1,Product_1,3.5,"$5,250.00",Category_1
155,3ea099bc,Customer_31,2021-11-18 09:40 AM,2021-11-19,Sales Rep_1,Product_Line_1,Product_2,4.0,"$6,000.00",Category_1
156,3ea099bc,Customer_31,2021-11-18 09:40 AM,2021-11-19,Sales Rep_1,Product_Line_1,Product_19,2.0,"$3,400.00",Category_1
157,3d3f3dd5,Customer_32,2021-11-18 01:40 PM,2021-11-19,Sales Rep_3,Product_Line_1,Product_45,1.0,"$1,500.00",Category_1
158,3d3f3dd5,Customer_32,2021-11-18 01:40 PM,2021-11-19,Sales Rep_3,Product_Line_1,Product_1,1.0,"$1,500.00",Category_1
159,3d3f3dd5,Customer_32,2021-11-18 01:40 PM,2021-11-19,Sales Rep_3,Product_Line_1,Product_44,1.0,"$1,500.00",Category_1
160,3d3f3dd5,Customer_32,2021-11-18 01:40 PM,2021-11-19,Sales Rep_3,Product_Line_1,Product_39,1.0,"$1,700.00",Category_1
161,6aec84b4,Customer_33,2021-11-18 01:44 PM,2021-11-22,Sales Rep_1,Product_Line_1,Product_21,1.0,"$1,500.00",Category_1
162,6aec84b4,Customer_33,2021-11-18 01:44 PM,2021-11-22,Sales Rep_1,Product_Line_1,Product_45,1.0,"$1,500.00",Category_1
163,6aec84b4,Customer_33,2021-11-18 01:44 PM,2021-11-22,Sales Rep_1,Product_Line_1,Product_39,1.0,"$1,700.00",Category_1
164,9c175f09,Customer_34,2021-11-18 01:53 PM,2021-11-19,Sales Rep_1,Product_Line_1,Product_45,1.0,"$1,500.00",Category_1
165,9c175f09,Customer_34,2021-11-18 01:53 PM,2021-11-19,Sales Rep_1,Product_Line_1,Product_2,1.0,"$1,500.00",Category_1
166,9c175f09,Customer_34,2021-11-18 01:53 PM,2021-11-19,Sales Rep_1,Product_Line_1,Product_1,1.0,"$1,500.00",Category_1
167,9c175f09,Customer_34,2021-11-18 01:53 PM,2021-11-19,Sales Rep_1,Product_Line_1,Product_44,1.0,"$1,500.00",Category_1
168,9c175f09,Customer_34,2021-11-18 01:53 PM,2021-11-19,Sales Rep_1,Product_Line_1,Product_39,1.0,"$1,700.00",Category_1
169,d20aa854,Customer_35,2021-11-18 02:13 PM,2021-11-19,Sales Rep_3,Product_Line_1,Product_21,1.0,"$1,700.00",Category_1
170,d20aa854,Customer_35,2021-11-18 02:13 PM,2021-11-19,Sales Rep_3,Product_Line_1,Product_2,1.0,"$1,600.00",Category_1
171,d20aa854,Customer_35,2021-11-18 02:13 PM,2021-11-19,Sales Rep_3,Product_Line_2,Product_27,100.0,$600.00,Category_2
172,9028b5b3,Customer_36,2021-11-18 02:17 PM,2021-11-19,Sales Rep_3,Product_Line_1,Product_21,1.0,"$1,500.00",Category_1
173,9028b5b3,Customer_36,2021-11-18 02:17 PM,2021-11-19,Sales Rep_3,Product_Line_1,Product_45,1.0,"$1,500.00",Category_1
174,9028b5b3,Customer_36,2021-11-18 02:17 PM,2021-11-19,Sales Rep_3,Product_Line_1,Product_2,1.0,"$1,500.00",Category_1
175,9028b5b3,Customer_36,2021-11-18 02:17 PM,2021-11-19,Sales Rep_3,Product_Line_1,Product_1,1.0,"$1,500.00",Category_1
176,9028b5b3,Customer_36,2021-11-18 02:17 PM,2021-11-19,Sales Rep_3,Product_Line_1,Product_39,1.0,"$1,700.00",Category_1
177,ab9bd350,Customer_37,2021-11-18 02:54 PM,2021-11-19,Sales Rep_3,Product_Line_1,Product_21,0.5,$900.00,Category_1
178,ab9bd350,Customer_37,2021-11-18 02:54 PM,2021-11-19,Sales Rep_3,Product_Line_1,Product_2,0.5,$900.00,Category_1
179,ab9bd350,Customer_37,2021-11-18 02:54 PM,2021-11-19,Sales Rep_3,Product_Line_1,Product_19,0.5,$900.00,Category_1
180,4173bf30,Customer_38,2021-11-18 02:56 PM,2021-11-23,Sales Rep_3,Product_Line_3,Product_22,50.0,$900.00,Category_1
181,4173bf30,Customer_38,2021-11-18 02:56 PM,2021-11-23,Sales Rep_3,Product_Line_3,Product_34,50.0,$800.00,Category_1
182,4173bf30,Customer_38,2021-11-18 02:56 PM,2021-11-23,Sales Rep_3,Product_Line_1,Product_19,1.0,"$1,700.00",Category_1
183,4173bf30,Customer_38,2021-11-18 02:56 PM,2021-11-23,Sales Rep_3,Product_Line_3,Product_25,50.0,$900.00,Category_1
184,ab9bd350,Customer_37,2021-11-18 02:54 PM,2021-11-19,Sales Rep_3,Product_Line_1,Product_5,0.39,$702.00,Category_1
185,3c5ef91d,Customer_39,2021-11-18 03:04 PM,2021-11-22,Sales Rep_3,Product_Line_2,Product_42,1.0,"$1,700.00",Category_2
186,3c5ef91d,Customer_39,2021-11-18 03:04 PM,2021-11-22,Sales Rep_3,Product_Line_1,Product_21,1.0,"$1,700.00",Category_1
187,3c5ef91d,Customer_39,2021-11-18 03:04 PM,2021-11-22,Sales Rep_3,Product_Line_3,Product_22,24.0,$432.00,Category_1
